Created: 23.01.2023 23:18:50; Vehicle Id:  SS-1111-DD;  Summa: 3,5
Created: 23.01.2023 23:18:55; Vehicle Id:  SS-1111-DD;  Summa: 3,5
Created: 23.01.2023 23:19:00; Vehicle Id:  SS-1111-DD;  Summa: 3,5
Created: 23.01.2023 23:19:05; Vehicle Id:  SS-1111-DD;  Summa: 3,5
Created: 23.01.2023 23:19:10; Vehicle Id:  SS-1111-DD;  Summa: 3,5
Created: 23.01.2023 23:19:15; Vehicle Id:  SS-1111-DD;  Summa: 3,5
Created: 23.01.2023 23:19:20; Vehicle Id:  SS-1111-DD;  Summa: 3,5

Created: 23.01.2023 23:19:25; Vehicle Id:  SS-1111-DD;  Summa: 3,5
Created: 23.01.2023 23:19:30; Vehicle Id:  SS-1111-DD;  Summa: 3,5
Created: 23.01.2023 23:19:35; Vehicle Id:  SS-1111-DD;  Summa: 3,5
Created: 23.01.2023 23:19:40; Vehicle Id:  SS-1111-DD;  Summa: 3,5
Created: 23.01.2023 23:19:45; Vehicle Id:  SS-1111-DD;  Summa: 3,5
Created: 23.01.2023 23:19:50; Vehicle Id:  SS-1111-DD;  Summa: 3,5
Created: 23.01.2023 23:19:55; Vehicle Id:  SS-1111-DD;  Summa: 3,5
Created: 23.01.2023 23:20:00; Vehicle Id:  SS-1111-DD;  Summa: 3,5
Created: 23.01.2023 23:20:05; Vehicle Id:  SS-1111-DD;  Summa: 3,5
Created: 23.01.2023 23:20:10; Vehicle Id:  SS-1111-DD;  Summa: 3,5
Created: 23.01.2023 23:20:15; Vehicle Id:  SS-1111-DD;  Summa: 3,5
Created: 23.01.2023 23:20:20; Vehicle Id:  SS-1111-DD;  Summa: 3,5

Created: 25.01.2023 0:47:20; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:47:25; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:47:30; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:47:35; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:47:40; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:47:45; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:47:50; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:47:50; Vehicle Id:  DD-1111-SS;  Summa: 2
Created: 25.01.2023 0:47:55; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:47:55; Vehicle Id:  DD-1111-SS;  Summa: 2
Created: 25.01.2023 0:48:00; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:48:00; Vehicle Id:  DD-1111-SS;  Summa: 2
Created: 25.01.2023 0:48:05; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:48:05; Vehicle Id:  DD-1111-SS;  Summa: 2
Created: 25.01.2023 0:48:10; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:48:10; Vehicle Id:  DD-1111-SS;  Summa: 2
Created: 25.01.2023 0:48:15; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:48:15; Vehicle Id:  DD-1111-SS;  Summa: 2

Created: 25.01.2023 0:48:20; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:48:20; Vehicle Id:  DD-1111-SS;  Summa: 2
Created: 25.01.2023 0:48:25; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:48:25; Vehicle Id:  DD-1111-SS;  Summa: 2
Created: 25.01.2023 0:48:30; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:48:30; Vehicle Id:  DD-1111-SS;  Summa: 2
Created: 25.01.2023 0:48:35; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:48:35; Vehicle Id:  DD-1111-SS;  Summa: 2
Created: 25.01.2023 0:48:40; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:48:40; Vehicle Id:  DD-1111-SS;  Summa: 2
Created: 25.01.2023 0:48:45; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:48:45; Vehicle Id:  DD-1111-SS;  Summa: 2
Created: 25.01.2023 0:48:50; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:48:50; Vehicle Id:  DD-1111-SS;  Summa: 2
Created: 25.01.2023 0:48:55; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:48:55; Vehicle Id:  DD-1111-SS;  Summa: 2
Created: 25.01.2023 0:49:00; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:49:00; Vehicle Id:  DD-1111-SS;  Summa: 2
Created: 25.01.2023 0:49:05; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:49:05; Vehicle Id:  DD-1111-SS;  Summa: 2
Created: 25.01.2023 0:49:10; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:49:10; Vehicle Id:  DD-1111-SS;  Summa: 2
Created: 25.01.2023 0:49:15; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:49:15; Vehicle Id:  DD-1111-SS;  Summa: 2

Created: 25.01.2023 0:49:20; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:49:20; Vehicle Id:  DD-1111-SS;  Summa: 2
Created: 25.01.2023 0:49:25; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:49:25; Vehicle Id:  DD-1111-SS;  Summa: 2
Created: 25.01.2023 0:49:30; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:49:30; Vehicle Id:  DD-1111-SS;  Summa: 2
Created: 25.01.2023 0:49:35; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:49:35; Vehicle Id:  DD-1111-SS;  Summa: 2
Created: 25.01.2023 0:49:40; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:49:40; Vehicle Id:  DD-1111-SS;  Summa: 2
Created: 25.01.2023 0:49:45; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:49:45; Vehicle Id:  DD-1111-SS;  Summa: 2
Created: 25.01.2023 0:49:50; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:49:50; Vehicle Id:  DD-1111-SS;  Summa: 2
Created: 25.01.2023 0:49:55; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:49:55; Vehicle Id:  DD-1111-SS;  Summa: 2
Created: 25.01.2023 0:50:00; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:50:00; Vehicle Id:  DD-1111-SS;  Summa: 2
Created: 25.01.2023 0:50:05; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:50:05; Vehicle Id:  DD-1111-SS;  Summa: 2
Created: 25.01.2023 0:50:10; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:50:10; Vehicle Id:  DD-1111-SS;  Summa: 2
Created: 25.01.2023 0:50:15; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:50:15; Vehicle Id:  DD-1111-SS;  Summa: 2

Created: 25.01.2023 0:50:20; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:50:20; Vehicle Id:  DD-1111-SS;  Summa: 2
Created: 25.01.2023 0:50:25; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:50:25; Vehicle Id:  DD-1111-SS;  Summa: 2
Created: 25.01.2023 0:50:30; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:50:30; Vehicle Id:  DD-1111-SS;  Summa: 2
Created: 25.01.2023 0:50:35; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:50:35; Vehicle Id:  DD-1111-SS;  Summa: 2
Created: 25.01.2023 0:50:40; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:50:40; Vehicle Id:  DD-1111-SS;  Summa: 2
Created: 25.01.2023 0:50:45; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:50:45; Vehicle Id:  DD-1111-SS;  Summa: 2
Created: 25.01.2023 0:50:50; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:50:55; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:51:00; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:51:05; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:51:10; Vehicle Id:  SS-1111-SS;  Summa: 5

Created: 25.01.2023 0:51:20; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:51:25; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:51:30; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:51:35; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:51:40; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:51:45; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:51:50; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:51:55; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:52:00; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:52:05; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:52:10; Vehicle Id:  SS-1111-SS;  Summa: 5

Created: 25.01.2023 0:52:20; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:52:25; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:52:30; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:52:35; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:52:40; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:52:45; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:52:50; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:52:55; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:53:00; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:53:05; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:53:10; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:53:15; Vehicle Id:  SS-1111-SS;  Summa: 5

Created: 25.01.2023 0:53:20; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:53:25; Vehicle Id:  SS-1111-SS;  Summa: 5
Created: 25.01.2023 0:53:30; Vehicle Id:  SS-1111-SS;  Summa: 5
